//char	type	Width	Filename
。	text	7	FontText。.png
？	text	9	FontText？.png
！	text	5	FontText！.png
，	text	5	FontText，.png
、	text	6	FontText、.png
；	text	5	FontText；.png
：	text	5	FontText：.png
「	text	6	FontText「.png
」	text	6	FontText」.png
『	text	8	FontText『.png
』	text	8	FontText』.png
‘	text	5	FontText‘.png
’	text	5	FontText’.png
“	text	8	FontText“.png
”	text	8	FontText”.png
（	text	6	FontText（.png
）	text	6	FontText）.png
〔	text	6	FontText〔.png
〕	text	6	FontText〕.png
【	text	8	FontText【.png
】	text	8	FontText】.png
—	text	12	FontText—.png
…	text	13	FontText….png
–	text	10	FontText–.png
．	text	5	FontText．.png
《	text	9	FontText《.png
》	text	9	FontText》.png
〈	text	8	FontText〈.png
〉	text	8	FontText〉.png
＋	text	10	FontText＋.png
·	text	5	FontText·.png
•	text	5	FontText•.png
+	text	10	FontText＋.png
。	item	6	FontItem。.png
？	item	8	FontItem？.png
！	item	5	FontItem！.png
，	item	5	FontItem，.png
、	item	6	FontItem、.png
；	item	5	FontItem；.png
：	item	5	FontItem：.png
「	item	6	FontItem「.png
」	item	6	FontItem」.png
『	item	7	FontItem『.png
』	item	7	FontItem』.png
‘	item	5	FontItem‘.png
’	item	5	FontItem’.png
“	item	8	FontItem“.png
”	item	8	FontItem”.png
（	item	6	FontItem（.png
）	item	6	FontItem）.png
〔	item	6	FontItem〔.png
〕	item	6	FontItem〕.png
【	item	7	FontItem【.png
】	item	7	FontItem】.png
—	item	8	FontItem—.png
…	item	11	FontItem….png
–	item	8	FontItem–.png
．	item	4	FontItem．.png
《	item	8	FontItem《.png
》	item	8	FontItem》.png
〈	item	7	FontItem〈.png
〉	item	7	FontItem〉.png
＋	item	8	FontItem＋.png
·	item	5	FontItem·.png
•	item	5	FontItem•.png
+	item	8	FontItem＋.png
嘚	text	12	FontText嘚.png
唻	text	12	FontText唻.png
嚒	text	12	FontText嚒.png
嗱	text	12	FontText嗱.png
嘢	text	12	FontText嘢.png
燐	text	12	FontText燐.png
祇	text	12	FontText祇.png
洩	text	12	FontText洩.png
珪	text	12	FontText珪.png
呣	text	12	FontText呣.png
屌	text	12	FontText屌.png
彧	text	12	FontText彧.png
塚	text	12	FontText塚.png
椛	text	12	FontText椛.png
叒	text	12	FontText叒.png
叕	text	12	FontText叕.png
咲	text	12	FontText咲.png
瞭	text	12	FontText瞭.png
啰	text	12	FontText啰.png
啊	text	12	FontText啊.png
阿	text	12	FontText阿.png
埃	text	12	FontText埃.png
挨	text	12	FontText挨.png
哎	text	12	FontText哎.png
唉	text	12	FontText唉.png
哀	text	12	FontText哀.png
皑	text	12	FontText皑.png
癌	text	12	FontText癌.png
蔼	text	12	FontText蔼.png
矮	text	12	FontText矮.png
艾	text	12	FontText艾.png
碍	text	12	FontText碍.png
爱	text	12	FontText爱.png
隘	text	12	FontText隘.png
鞍	text	12	FontText鞍.png
氨	text	12	FontText氨.png
安	text	12	FontText安.png
俺	text	12	FontText俺.png
按	text	12	FontText按.png
暗	text	12	FontText暗.png
岸	text	12	FontText岸.png
胺	text	12	FontText胺.png
案	text	12	FontText案.png
肮	text	12	FontText肮.png
昂	text	12	FontText昂.png
盎	text	12	FontText盎.png
凹	text	12	FontText凹.png
敖	text	12	FontText敖.png
熬	text	12	FontText熬.png
翱	text	12	FontText翱.png
袄	text	12	FontText袄.png
傲	text	12	FontText傲.png
奥	text	12	FontText奥.png
懊	text	12	FontText懊.png
澳	text	12	FontText澳.png
芭	text	12	FontText芭.png
捌	text	12	FontText捌.png
扒	text	12	FontText扒.png
叭	text	12	FontText叭.png
吧	text	12	FontText吧.png
笆	text	12	FontText笆.png
八	text	12	FontText八.png
疤	text	12	FontText疤.png
巴	text	12	FontText巴.png
拔	text	12	FontText拔.png
跋	text	12	FontText跋.png
靶	text	12	FontText靶.png
把	text	12	FontText把.png
耙	text	12	FontText耙.png
坝	text	12	FontText坝.png
霸	text	12	FontText霸.png
罢	text	12	FontText罢.png
爸	text	12	FontText爸.png
白	text	12	FontText白.png
柏	text	12	FontText柏.png
百	text	12	FontText百.png
摆	text	12	FontText摆.png
佰	text	12	FontText佰.png
败	text	12	FontText败.png
拜	text	12	FontText拜.png
稗	text	12	FontText稗.png
斑	text	12	FontText斑.png
班	text	12	FontText班.png
搬	text	12	FontText搬.png
扳	text	12	FontText扳.png
般	text	12	FontText般.png
颁	text	12	FontText颁.png
板	text	12	FontText板.png
版	text	12	FontText版.png
扮	text	12	FontText扮.png
拌	text	12	FontText拌.png
伴	text	12	FontText伴.png
瓣	text	12	FontText瓣.png
半	text	12	FontText半.png
办	text	12	FontText办.png
绊	text	12	FontText绊.png
邦	text	12	FontText邦.png
帮	text	12	FontText帮.png
梆	text	12	FontText梆.png
榜	text	12	FontText榜.png
膀	text	12	FontText膀.png
绑	text	12	FontText绑.png
棒	text	12	FontText棒.png
磅	text	12	FontText磅.png
蚌	text	12	FontText蚌.png
